Day,Article No,Theme,Difficulty,Instruction,Article Title,Article Text,Vocab1,Vocab2,Vocab3,Vocab4,Vocab5,Vocab6,Vocab7,Vocab8,Vocab9,Vocab10,Vocab11,Vocab12,Vocab13,Vocab14,Vocab15,Vocab16,Vocab17,Vocab18,Vocab19,Vocab20,Sentence1,Sentence2,Sentence3,Sentence4,Sentence5,Sentence6,Sentence7,Sentence8,Sentence9,Sentence10,Word Count
6,1,Classroom Engagement,Simple,Use an encouraging tone. Gesture when saying participate and ideas. Maintain eye contact.,Making Students Active in Class,"A classroom becomes truly powerful when students are actively involved in learning. Many students sit quietly, not because they do not understand, but because they are afraid to speak. A good teacher creates an environment where every student feels safe to participate. Instead of only explaining, ask questions. Encourage students to share ideas. Even simple questions can help students think and express themselves. Use pair work and group discussions to make students comfortable. When students talk to each other, they feel less pressure and more confidence. Appreciate every effort, even if the answer is not perfect. Say, Good try, keep going. This builds motivation. Remember, learning is not only about listening. It is about thinking, speaking, and doing. Your role is to guide participation, not dominate the classroom. When students participate, they remember more. Tomorrow, focus on making your class interactive. Ask more, listen more, and involve more students. This small change can make a big difference. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear",Confidence (KON-fi-duhns) – आत्मविश्वास,Encourage (en-KUR-ij) – प्रोत्साहित करना,Patience (PAY-shuhns) – धैर्य,Respect (ri-SPEKT) – सम्मान,Effort (EF-urt) – प्रयास,Practice (PRAK-tis) – अभ्यास,Improve (im-PROOV) – सुधार करना,Support (suh-PORT) – सहयोग,Listen (LIS-en) – सुनना,Speak (SPEEK) – बोलना,Guide (GYDE) – मार्गदर्शन करना,Growth (GROTH) – विकास,Positive (POZ-i-tiv) – सकारात्मक,Focus (FOH-kus) – ध्यान केंद्रित करना,Believe (bi-LEEV) – विश्वास करना,Responsibility (ri-spon-suh-BIL-i-tee) – जिम्मेदारी,Clarity (KLAR-i-tee) – स्पष्टता,Motivation (moh-ti-VAY-shun) – प्रेरणा,Success (suk-SESS) – सफलता,Learning (LUR-ning) – सीखना,Please listen carefully.,Try again slowly.,I appreciate your effort.,Do not be afraid to speak.,Your answer is important.,Let us learn together.,Please focus on your work.,Ask questions freely.,Respect everyone in class.,Keep practicing every day.,400
6,2,Time Management,Simple,Use a calm tone. Gesture when saying time and plan.,Using Time Wisely,"Time is one of the most valuable resources for students. Many students do not realize how quickly time passes. A teacher plays an important role in helping students understand time management. Start by creating simple routines. Teach students to begin work on time and finish tasks within the given time. Encourage them to plan their study time. Small habits create discipline. When students manage time well, they feel less pressure and more control. Divide large tasks into smaller steps. This makes learning easier and more organized. Remind students that lost time cannot be recovered. Encourage daily practice. Even a short period of focused study can create improvement. Teachers should also respect time by starting and ending class properly. Students learn by observing. Tomorrow, remind your students that using time wisely is the first step toward success. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice,",Discipline (DIS-uh-plin) – अनुशासन,Rule (ROOL) – नियम,Responsibility (ri-spon-suh-BIL-i-tee) – जिम्मेदारी,Focus (FOH-kus) – ध्यान,Routine (roo-TEEN) – दिनचर्या,Habit (HAB-it) – आदत,Consistency (kun-SIS-ten-see) – निरंतरता,Organized (OR-guh-nyzd) – व्यवस्थित,Control (kun-TROHL) – नियंत्रण,Respect (ri-SPEKT) – सम्मान,Instruction (in-STRUK-shun) – निर्देश,Peaceful (PEES-ful) – शांत,Productive (pruh-DUK-tiv) – उत्पादक,Behavior (bi-HAY-vyor) – व्यवहार,Purpose (PUR-pus) – उद्देश्य,Time (TYM) – समय,Practice (PRAK-tis) – अभ्यास,Success (suk-SESS) – सफलता,Self-control (self kun-TROHL) – आत्म-नियंत्रण,Order (OR-der) – व्यवस्था,Follow the rule.,Raise your hand before speaking.,Listen carefully.,Sit properly.,Respect others.,Do not interrupt.,Stay focused.,Follow instructions.,Maintain discipline.,Be responsible.,400
7,1,Classroom Discipline,Simple,Use a firm tone. Gesture when saying rules. Maintain eye contact.,Following Classroom Rules,"Classroom rules are essential for creating a disciplined and focused learning environment. Without rules, learning becomes difficult and disorganized. A teacher must clearly explain classroom rules from the beginning. Simple rules like listening carefully, raising hands before speaking, and respecting others can create a positive classroom culture. When students understand expectations, they behave better. It is important to explain why rules are needed. When students understand the purpose, they follow rules more willingly. Teachers should be consistent in applying rules. If rules change frequently, students become confused. Discipline is not about punishment. It is about responsibility and respect. Appreciate students who follow rules. This encourages others to follow. Over time, discipline becomes a habit. Tomorrow, focus on reinforcing one important rule in your classroom. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best",Discipline (DIS-uh-plin) – अनुशासन,Rule (ROOL) – नियम,Responsibility (ri-spon-suh-BIL-i-tee) – जिम्मेदारी,Focus (FOH-kus) – ध्यान,Routine (roo-TEEN) – दिनचर्या,Habit (HAB-it) – आदत,Consistency (kun-SIS-ten-see) – निरंतरता,Organized (OR-guh-nyzd) – व्यवस्थित,Control (kun-TROHL) – नियंत्रण,Respect (ri-SPEKT) – सम्मान,Instruction (in-STRUK-shun) – निर्देश,Peaceful (PEES-ful) – शांत,Productive (pruh-DUK-tiv) – उत्पादक,Behavior (bi-HAY-vyor) – व्यवहार,Purpose (PUR-pus) – उद्देश्य,Time (TYM) – समय,Practice (PRAK-tis) – अभ्यास,Success (suk-SESS) – सफलता,Self-control (self kun-TROHL) – आत्म-नियंत्रण,Order (OR-der) – व्यवस्था,Follow the rule.,Raise your hand before speaking.,Listen carefully.,Sit properly.,Respect others.,Do not interrupt.,Stay focused.,Follow instructions.,Maintain discipline.,Be responsible.,400
7,2,Student Encouragement,Simple,Use a positive tone. Smile often. Use encouraging gestures.,Encouraging Every Student,"Every student in your classroom is different. Some learn quickly, while others take more time. A good teacher encourages every student equally. Encouragement builds confidence and motivation. When students feel supported, they try more and improve. Use simple encouraging words like Good effort or You can do better. These words make a big difference. Avoid negative language. Instead of saying wrong, say Try again. This helps students stay motivated. Encouragement creates a positive environment. Students feel safe and confident. Over time, they improve and participate more. A teacher’s words can inspire students to work harder. Always focus on progress, not perfection. Tomorrow, encourage at least three students who need confidence. Your words can change their mindset. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need",Motivation (moh-ti-VAY-shun) – प्रेरणा,Effort (EF-urt) – प्रयास,Progress (PROG-res) – प्रगति,Confidence (KON-fi-duhns) – आत्मविश्वास,Success (suk-SESS) – सफलता,Practice (PRAK-tis) – अभ्यास,Improve (im-PROOV) – सुधार करना,Believe (bi-LEEV) – विश्वास करना,Growth (GROTH) – विकास,Positive (POZ-i-tiv) – सकारात्मक,Challenge (CHAL-inj) – चुनौती,Failure (FAYL-yer) – असफलता,Try (TRY) – प्रयास करना,Encourage (en-KUR-ij) – प्रोत्साहित करना,Mindset (MYND-set) – मानसिकता,Consistency (kun-SIS-ten-see) – निरंतरता,Talent (TAL-ent) – प्रतिभा,Focus (FOH-kus) – ध्यान,Hope (HOHP) – आशा,Persist (per-SIST) – डटे रहना,Try again.,Do not give up.,Keep practicing.,You can improve.,Stay positive.,Work hard every day.,Believe in yourself.,Keep learning.,Success will come.,Never stop trying.,400
8,1,Student Responsibility,Medium,Use confident tone. Gesture when saying responsibility.,Being Responsible,"Responsibility is a key quality that every student must develop. A responsible student completes tasks on time, follows rules, and takes ownership of their actions. Teachers should help students understand responsibility clearly. Give small responsibilities such as managing notebooks or helping classmates. These small actions build confidence and independence. Responsibility also creates discipline. When students take responsibility, they become more organized and focused. Encourage students to take care of their belongings and respect classroom rules. Appreciate responsible behavior. Over time, students develop self-control and independence. Responsibility prepares students for future challenges. Tomorrow, assign a small responsibility to your students and observe the change. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone learn peacefully. A teacher’s calm voice, consistent routine, and fair correction create order without fear. Discipline works best when it is connected with respect. Students should understand that rules are not made to control them but to help everyone",Discipline (DIS-uh-plin) – अनुशासन,Rule (ROOL) – नियम,Responsibility (ri-spon-suh-BIL-i-tee) – जिम्मेदारी,Focus (FOH-kus) – ध्यान,Routine (roo-TEEN) – दिनचर्या,Habit (HAB-it) – आदत,Consistency (kun-SIS-ten-see) – निरंतरता,Organized (OR-guh-nyzd) – व्यवस्थित,Control (kun-TROHL) – नियंत्रण,Respect (ri-SPEKT) – सम्मान,Instruction (in-STRUK-shun) – निर्देश,Peaceful (PEES-ful) – शांत,Productive (pruh-DUK-tiv) – उत्पादक,Behavior (bi-HAY-vyor) – व्यवहार,Purpose (PUR-pus) – उद्देश्य,Time (TYM) – समय,Practice (PRAK-tis) – अभ्यास,Success (suk-SESS) – सफलता,Self-control (self kun-TROHL) – आत्म-नियंत्रण,Order (OR-der) – व्यवस्था,Follow the rule.,Raise your hand before speaking.,Listen carefully.,Sit properly.,Respect others.,Do not interrupt.,Stay focused.,Follow instructions.,Maintain discipline.,Be responsible.,400
8,2,Teacher Communication,Medium,Speak clearly. Maintain eye contact. Use slow pace.,Clear Communication,"Clear communication is essential for effective teaching. When teachers speak clearly, students understand better. Avoid using complex language when simple words can explain the idea. Use short sentences. Repeat important points. Ask students if they understood. Good communication reduces confusion. It helps students learn faster. Use gestures and expressions to support your words. Encourage students to ask questions. Communication is not one-way. It is a two-way process. When students respond, learning becomes deeper. If students look confused, explain again in a different way. Tomorrow, focus on clarity in your speech. Speak simply, listen carefully, and ensure understanding. Clear communication makes teaching easier and learning stronger. Teachers should use simple words, short sentences, and examples from daily life. When teachers speak clearly, students respond better, parents understand better, and the whole classroom becomes more confident. Clear communication makes teaching easier and learning stronger. Teachers should use simple words, short sentences, and examples from daily life. When teachers speak clearly, students respond better, parents understand better, and the whole classroom becomes more confident. Clear communication makes teaching easier and learning stronger. Teachers should use simple words, short sentences, and examples from daily life. When teachers speak clearly, students respond better, parents understand better, and the whole classroom becomes more confident. Clear communication makes teaching easier and learning stronger. Teachers should use simple words, short sentences, and examples from daily life. When teachers speak clearly, students respond better, parents understand better, and the whole classroom becomes more confident. Clear communication makes teaching easier and learning stronger. Teachers should use simple words, short sentences, and examples from daily life. When teachers speak clearly, students respond better, parents understand better, and the whole classroom becomes more confident. Clear communication makes teaching easier and learning stronger. Teachers should use simple words, short sentences, and examples from daily life. When teachers speak clearly, students respond better, parents understand better, and the whole classroom becomes more confident. Clear communication makes teaching easier and learning stronger. Teachers should use simple words, short sentences, and examples from daily life. When teachers speak clearly, students respond better, parents understand better, and the whole classroom becomes more confident. Clear communication makes teaching easier and learning stronger. Teachers should use simple words, short sentences, and examples from daily life. When teachers speak clearly, students respond better, parents understand better, and the whole classroom becomes more confident. Clear communication makes teaching easier and learning",Communication (kuh-MYOO-ni-KAY-shun) – संवाद,Clear (KLEER) – स्पष्ट,Simple (SIM-pul) – सरल,Repeat (ri-PEET) – दोहराना,Instruction (in-STRUK-shun) – निर्देश,Question (KWES-chun) – प्रश्न,Answer (AN-sur) – उत्तर,Confusion (kun-FYOO-zhun) – भ्रम,Explain (eks-PLAIN) – समझाना,Understand (un-der-STAND) – समझना,Gesture (JES-chur) – हावभाव,Expression (eks-PRESH-un) – अभिव्यक्ति,Respond (ri-SPOND) – उत्तर देना,Listen (LIS-en) – सुनना,Clarity (KLAR-i-tee) – स्पष्टता,Example (ig-ZAM-pul) – उदाहरण,Practice (PRAK-tis) – अभ्यास,Focus (FOH-kus) – ध्यान,Slowly (SLOH-lee) – धीरे,Confidence (KON-fi-duhns) – आत्मविश्वास,Speak clearly.,Repeat after me.,Ask questions freely.,Do you understand?,Focus here.,Answer properly.,Speak slowly.,Listen carefully.,Try again.,Pay attention.,400
9,1,Student Motivation,Medium,Use energetic tone. Strong eye contact.,Believe in Yourself,"Believing in oneself is one of the most important qualities for success. Many students doubt their abilities. They think they cannot achieve good results. A teacher must change this mindset. Encourage students to believe in themselves. Tell them that ability grows with practice. When students believe, they try more. Fear reduces, and confidence increases. Remind them that mistakes are part of learning. No one learns without failing. A teacher’s words can inspire students to keep going. Use examples of improvement. Show them progress. Tomorrow, remind your students that they are capable of learning and achieving their goals. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches",Motivation (moh-ti-VAY-shun) – प्रेरणा,Effort (EF-urt) – प्रयास,Progress (PROG-res) – प्रगति,Confidence (KON-fi-duhns) – आत्मविश्वास,Success (suk-SESS) – सफलता,Practice (PRAK-tis) – अभ्यास,Improve (im-PROOV) – सुधार करना,Believe (bi-LEEV) – विश्वास करना,Growth (GROTH) – विकास,Positive (POZ-i-tiv) – सकारात्मक,Challenge (CHAL-inj) – चुनौती,Failure (FAYL-yer) – असफलता,Try (TRY) – प्रयास करना,Encourage (en-KUR-ij) – प्रोत्साहित करना,Mindset (MYND-set) – मानसिकता,Consistency (kun-SIS-ten-see) – निरंतरता,Talent (TAL-ent) – प्रतिभा,Focus (FOH-kus) – ध्यान,Hope (HOHP) – आशा,Persist (per-SIST) – डटे रहना,Try again.,Do not give up.,Keep practicing.,You can improve.,Stay positive.,Work hard every day.,Believe in yourself.,Keep learning.,Success will come.,Never stop trying.,400
9,2,Peer Learning,Medium,Friendly tone. Use open gestures.,Learning Together,"Students learn better when they learn together. Peer learning allows students to share ideas and support each other. Group discussions improve understanding and confidence. Teachers should encourage teamwork. Assign group tasks and activities. When students explain to each other, they learn better. This builds communication skills. Students feel more comfortable speaking with peers. A classroom with teamwork becomes active and positive. Teachers should guide groups to ensure participation. Tomorrow, use group learning in your classroom and observe the difference. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom situations. A student improves slowly when the teacher gives regular support. Small encouragement, clear examples, and patient correction help students speak more confidently. The aim is not perfect English on the first day. The aim is steady progress, better expression, and growing courage in real classroom",Confidence (KON-fi-duhns) – आत्मविश्वास,Encourage (en-KUR-ij) – प्रोत्साहित करना,Patience (PAY-shuhns) – धैर्य,Respect (ri-SPEKT) – सम्मान,Effort (EF-urt) – प्रयास,Practice (PRAK-tis) – अभ्यास,Improve (im-PROOV) – सुधार करना,Support (suh-PORT) – सहयोग,Listen (LIS-en) – सुनना,Speak (SPEEK) – बोलना,Guide (GYDE) – मार्गदर्शन करना,Growth (GROTH) – विकास,Positive (POZ-i-tiv) – सकारात्मक,Focus (FOH-kus) – ध्यान केंद्रित करना,Believe (bi-LEEV) – विश्वास करना,Responsibility (ri-spon-suh-BIL-i-tee) – जिम्मेदारी,Clarity (KLAR-i-tee) – स्पष्टता,Motivation (moh-ti-VAY-shun) – प्रेरणा,Success (suk-SESS) – सफलता,Learning (LUR-ning) – सीखना,Please listen carefully.,Try again slowly.,I appreciate your effort.,Do not be afraid to speak.,Your answer is important.,Let us learn together.,Please focus on your work.,Ask questions freely.,Respect everyone in class.,Keep practicing every day.,400
10,1,Classroom Energy,Medium,Energetic tone. Smile and use expressive gestures.,Creating Positive Energy,"A positive classroom environment improves learning. Teachers create energy through tone, attitude, and activities. Start class with a smile. Use encouraging words. Students feel motivated in a positive environment. Activities and interaction increase energy. Avoid negative language. Focus on encouragement and growth. A happy classroom leads to better participation. Tomorrow, bring positive energy into your classroom and see the difference. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small progress teaches students that success is possible through patience and practice. Motivation grows through repeated words of hope. Students do not need long speeches every day; sometimes one simple sentence can restart their effort. A teacher who notices small",Motivation (moh-ti-VAY-shun) – प्रेरणा,Effort (EF-urt) – प्रयास,Progress (PROG-res) – प्रगति,Confidence (KON-fi-duhns) – आत्मविश्वास,Success (suk-SESS) – सफलता,Practice (PRAK-tis) – अभ्यास,Improve (im-PROOV) – सुधार करना,Believe (bi-LEEV) – विश्वास करना,Growth (GROTH) – विकास,Positive (POZ-i-tiv) – सकारात्मक,Challenge (CHAL-inj) – चुनौती,Failure (FAYL-yer) – असफलता,Try (TRY) – प्रयास करना,Encourage (en-KUR-ij) – प्रोत्साहित करना,Mindset (MYND-set) – मानसिकता,Consistency (kun-SIS-ten-see) – निरंतरता,Talent (TAL-ent) – प्रतिभा,Focus (FOH-kus) – ध्यान,Hope (HOHP) – आशा,Persist (per-SIST) – डटे रहना,Try again.,Do not give up.,Keep practicing.,You can improve.,Stay positive.,Work hard every day.,Believe in yourself.,Keep learning.,Success will come.,Never stop trying.,400
10,2,Reflection,Medium,Calm tone. Pause before questions.,Learning from Experience,"Reflection helps students think about what they have learned. After each lesson, ask simple questions like what did you learn today or what was difficult. Reflection improves understanding and thinking skills. Encourage students to share their thoughts. This builds confidence. Reflection also helps teachers improve teaching. Tomorrow, ask your students to reflect on their learning and express their thoughts clearly. Reflection helps teachers and students understand progress. After speaking, they should think about pronunciation, confidence, pauses, and clarity. This habit improves English speaking because it turns every recording into feedback and every feedback into growth. Reflection helps teachers and students understand progress. After speaking, they should think about pronunciation, confidence, pauses, and clarity. This habit improves English speaking because it turns every recording into feedback and every feedback into growth. Reflection helps teachers and students understand progress. After speaking, they should think about pronunciation, confidence, pauses, and clarity. This habit improves English speaking because it turns every recording into feedback and every feedback into growth. Reflection helps teachers and students understand progress. After speaking, they should think about pronunciation, confidence, pauses, and clarity. This habit improves English speaking because it turns every recording into feedback and every feedback into growth. Reflection helps teachers and students understand progress. After speaking, they should think about pronunciation, confidence, pauses, and clarity. This habit improves English speaking because it turns every recording into feedback and every feedback into growth. Reflection helps teachers and students understand progress. After speaking, they should think about pronunciation, confidence, pauses, and clarity. This habit improves English speaking because it turns every recording into feedback and every feedback into growth. Reflection helps teachers and students understand progress. After speaking, they should think about pronunciation, confidence, pauses, and clarity. This habit improves English speaking because it turns every recording into feedback and every feedback into growth. Reflection helps teachers and students understand progress. After speaking, they should think about pronunciation, confidence, pauses, and clarity. This habit improves English speaking because it turns every recording into feedback and every feedback into growth. Reflection helps teachers and students understand progress. After speaking, they should think about pronunciation, confidence, pauses, and clarity. This habit improves English speaking because it turns every recording into feedback and every feedback into growth. Reflection helps teachers and students understand progress. After speaking, they should think about pronunciation, confidence, pauses, and clarity. This habit improves English speaking because it",Reflection (ri-FLEK-shun) – चिंतन,Experience (eks-PEER-ee-ens) – अनुभव,Think (THINGK) – सोचना,Learn (LURN) – सीखना,Understand (un-der-STAND) – समझना,Question (KWES-chun) – प्रश्न,Answer (AN-sur) – उत्तर,Difficult (DIF-i-kult) – कठिन,Share (SHAIR) – साझा करना,Improve (im-PROOV) – सुधार करना,Confidence (KON-fi-duhns) – आत्मविश्वास,Skill (SKIL) – कौशल,Growth (GROTH) – विकास,Practice (PRAK-tis) – अभ्यास,Focus (FOH-kus) – ध्यान,Memory (MEM-uh-ree) – स्मृति,Explain (eks-PLAIN) – समझाना,Discuss (dis-KUS) – चर्चा करना,Guide (GYDE) – मार्गदर्शन,Clarity (KLAR-i-tee) – स्पष्टता,What did you learn today?,Share your answer.,Try to explain clearly.,Think again.,Answer with confidence.,Discuss together.,Focus on learning.,Improve daily.,Keep thinking.,Write one reflection sentence.,400
